index,current_price,make,model,year,title_status,mileage
0,6300,toyota,cruiser,2008,clean vehicle,274117.0
1,2899,ford,se,2011,clean vehicle,190552.0
2,5350,dodge,mpv,2018,clean vehicle,39590.0
3,25000,ford,door,2014,clean vehicle,64146.0
4,27700,chevrolet,1500,2018,clean vehicle,6654.0
5,5700,dodge,mpv,2018,clean vehicle,45561.0
6,7300,chevrolet,pk,2010,clean vehicle,149050.0
7,13350,gmc,door,2017,clean vehicle,23525.0
8,14600,chevrolet,malibu,2018,clean vehicle,9371.0
9,5250,ford,mpv,2017,clean vehicle,63418.0
10,10400,dodge,coupe,2009,clean vehicle,107856.0
11,12920,gmc,mpv,2017,clean vehicle,39650.0
12,31900,chevrolet,1500,2018,clean vehicle,22909.0
13,5430,chrysler,wagon,2017,clean vehicle,138650.0
14,20700,ford,door,2013,clean vehicle,100757.0
15,12710,gmc,door,2017,clean vehicle,25747.0
16,5200,kia,forte,2018,clean vehicle,46194.0
17,16500,buick,encore,2018,clean vehicle,20002.0
18,5210,ford,mpv,2017,clean vehicle,35714.0
19,38100,ford,door,2013,clean vehicle,54380.0
20,12520,gmc,door,2017,clean vehicle,30114.0
21,7300,kia,forte,2018,clean vehicle,38823.0
22,15000,chevrolet,door,2015,clean vehicle,61578.0
23,6180,ford,mpv,2017,clean vehicle,46010.0
24,20800,ford,door,2013,clean vehicle,105510.0
25,11900,gmc,door,2017,clean vehicle,28040.0
26,21500,kia,sorento,2020,clean vehicle,11451.0
27,12000,buick,door,2014,clean vehicle,31039.0
28,4190,ford,doors,2017,clean vehicle,44174.0
29,13000,ford,chassis,2008,clean vehicle,93698.0
30,12710,gmc,door,2017,clean vehicle,26364.0
31,18500,infiniti,q70,2016,clean vehicle,71967.0
32,29800,chevrolet,camaro,1973,clean vehicle,46226.0
33,5330,ford,mpv,2017,clean vehicle,37792.0
34,13000,ford,convertible,2003,clean vehicle,58817.0
35,11900,gmc,door,2017,clean vehicle,27965.0
36,16600,mercedes-benz,vans,2016,clean vehicle,110907.0
37,19200,chevrolet,1500,2018,clean vehicle,2430.0
38,7320,ford,mpv,2017,clean vehicle,32366.0
39,7000,ford,pk,2003,clean vehicle,176567.0
40,12710,gmc,door,2017,clean vehicle,30049.0
41,16600,mercedes-benz,vans,2016,clean vehicle,97983.0
42,30500,chevrolet,1500,2018,clean vehicle,30442.0
43,6330,ford,mpv,2017,clean vehicle,38123.0
44,55000,ford,srw,2017,clean vehicle,15273.0
45,12520,gmc,door,2017,clean vehicle,28972.0
46,16200,jeep,compass,2019,clean vehicle,30061.0
47,19000,chevrolet,malibu,2017,clean vehicle,18414.0
48,5580,dodge,mpv,2017,clean vehicle,46829.0
49,54000,ford,srw,2017,clean vehicle,26241.0
50,12710,gmc,mpv,2017,clean vehicle,39886.0
51,16000,jeep,compass,2019,clean vehicle,31594.0
52,27000,buick,enclave,2017,clean vehicle,32107.0
53,7760,ford,mpv,2017,clean vehicle,44794.0
54,19600,chrysler,300,2019,clean vehicle,42648.0
55,12920,gmc,mpv,2017,clean vehicle,39165.0
56,20000,jeep,cherokee,2019,clean vehicle,38355.0
57,18100,buick,door,2017,clean vehicle,46766.0
58,23000,chrysler,pacifica,2020,clean vehicle,2473.0
59,18500,chrysler,300,2019,clean vehicle,38586.0
60,13490,gmc,door,2017,clean vehicle,27842.0
61,20700,jeep,cherokee,2019,clean vehicle,31156.0
62,17800,chevrolet,door,2017,clean vehicle,52435.0
63,6650,ford,door,2017,clean vehicle,29942.0
64,29100,chrysler,pacifica,2019,clean vehicle,25281.0
65,12710,gmc,door,2017,clean vehicle,32504.0
66,21100,jeep,cherokee,2019,clean vehicle,28649.0
67,18600,chevrolet,door,2017,clean vehicle,35200.0
68,4340,ford,door,2017,clean vehicle,25602.0
69,19300,chrysler,300,2019,clean vehicle,34801.0
70,12780,gmc,door,2017,clean vehicle,31009.0
71,15800,jeep,compass,2019,clean vehicle,35595.0
72,29400,bmw,x3,2017,clean vehicle,23765.0
73,4430,ford,door,2017,clean vehicle,31792.0
74,19400,chrysler,300,2019,clean vehicle,33135.0
75,12520,gmc,door,2017,clean vehicle,30636.0
76,15900,jeep,compass,2019,clean vehicle,34502.0
77,26400,buick,door,2017,clean vehicle,25434.0
78,4140,ford,door,2017,clean vehicle,36732.0
79,18300,chrysler,300,2019,clean vehicle,41792.0
80,12520,gmc,door,2017,clean vehicle,31992.0
81,17900,jeep,compass,2019,clean vehicle,32501.0
82,18300,chevrolet,camaro,2017,clean vehicle,28395.0
83,4640,ford,door,2017,clean vehicle,36139.0
84,24000,ford,door,2016,clean vehicle,84413.0
85,13200,gmc,door,2017,clean vehicle,33457.0
86,18000,jeep,compass,2019,clean vehicle,29245.0
87,14900,chevrolet,equinox,2017,clean vehicle,12783.0
88,4140,ford,door,2017,clean vehicle,17617.0
89,11500,ford,door,2016,clean vehicle,36855.0
90,9110,ford,door,2017,clean vehicle,110316.0
91,7350,chrysler,door,2015,clean vehicle,88227.0
92,24500,bmw,door,2017,clean vehicle,17626.0
93,9300,ford,door,2017,clean vehicle,120353.0
94,39800,dodge,challenger,2015,clean vehicle,3641.0
95,53500,bmw,m,2017,clean vehicle,29355.0
96,15110,ford,door,2017,clean vehicle,39333.0
97,34000,ford,door,2015,clean vehicle,42930.0
98,26502,chevrolet,colorado,2017,clean vehicle,24993.0
99,5990,ford,mpv,2017,clean vehicle,44929.0
100,13600,ford,focus,2018,clean vehicle,16971.0
101,23605,cadillac,door,2017,clean vehicle,35598.0
102,10780,ford,mpv,2017,clean vehicle,40455.0
103,13800,ford,focus,2018,clean vehicle,23164.0
104,25201,cadillac,door,2017,clean vehicle,19011.0
105,7070,ford,mpv,2017,clean vehicle,45191.0
106,8700,ford,focus,2018,clean vehicle,21405.0
107,18003,chevrolet,malibu,2017,clean vehicle,19117.0
108,8530,ford,door,2017,clean vehicle,42104.0
109,23100,dodge,durango,2018,clean vehicle,49496.0
110,24500,cadillac,door,2017,clean vehicle,32418.0
111,7000,ford,mpv,2017,clean vehicle,29882.0
112,17000,ford,escape,2018,clean vehicle,34819.0
113,34002,chevrolet,1500,2017,clean vehicle,31923.0
114,6980,ford,mpv,2017,clean vehicle,29168.0
115,25000,dodge,charger,2018,clean vehicle,28307.0
116,20802,chevrolet,colorado,2017,clean vehicle,33791.0
117,9200,ford,door,2017,clean vehicle,21770.0
118,26500,chrysler,pacifica,2017,clean vehicle,18375.0
119,24802,chevrolet,colorado,2017,clean vehicle,14158.0
120,7070,ford,mpv,2017,clean vehicle,30318.0
121,28500,ford,door,2017,clean vehicle,48086.0
122,47500,cadillac,door,2017,clean vehicle,26562.0
123,23500,ford,explorer,2017,clean vehicle,57611.0
124,23505,chevrolet,colorado,2017,clean vehicle,47357.0
125,10940,ford,door,2017,clean vehicle,84916.0
126,32100,ford,f-150,2017,clean vehicle,24521.0
127,53000,chevrolet,3500,2018,clean vehicle,16105.0
128,6830,ford,mpv,2017,clean vehicle,35888.0
129,11900,dodge,caravan,2017,clean vehicle,59537.0
130,26414,chevrolet,1500,2017,clean vehicle,55222.0
